JOBID;STEPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
6692196;0;gcn21;2392000;2194724;2400000;1.001112;0.635713;1.146343;0.784585;0.000000;0.000000;1119.548838;101.384018;245.666845;4355814702;6851852285;0.000037;67842358;35465257;0;32189;0;0;0;338050;0;0;0;49.327636;210000;1215000;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1718830251;12;19-06-2024 22:50:51
6692196;0;gcn21;2388000;2194760;2400000;1.002612;3.505493;5.648006;9.720483;0.000000;0.000000;1253.507713;109.085571;256.752694;60488775018;17255425699;0.330947;301144449;337907915;0;445553;0;29919000;1576701280;180969;0;0;1710827096;59.595636;755454;1215000;5;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1718830261;22;19-06-2024 22:51:01
6692196;0;gcn21;2389333;2194811;2400000;1.001212;0.905038;0.543751;1.421835;0.000000;0.000000;1273.176655;101.715135;247.811669;23694221163;26180356424;0.000392;647410990;297939511;0;157834;0;0;1748352;2020496;0;0;0;86.915909;1410000;1215000;21;3;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1718830271;32;19-06-2024 22:51:11
6692196;0;gcn21;2380000;2195003;2400000;1.001712;0.898810;0.249437;0.652935;0.000000;0.000000;1265.857725;101.112713;246.598557;23567815228;26221139344;0.000231;602899782;274281873;0;119096;0;1136;1377360;814445;0;0;0;91.712000;1410000;1215000;25;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1718830281;42;19-06-2024 22:51:21
6692196;0;gcn21;2389333;2194868;2400000;1.001312;0.900185;0.231306;0.605121;0.000000;0.000000;1274.978101;100.813536;246.754151;23580749472;26195445843;0.000237;603989808;275797937;0;101101;0;1752;1457744;811979;0;0;0;90.815818;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1718830291;52;19-06-2024 22:51:31
6692196;0;gcn21;2393333;2194800;2400000;1.001512;0.899528;0.262069;0.685634;0.000000;0.000000;1181.143874;101.105147;247.350036;23569316696;26201884732;0.000234;603802415;275560994;0;100126;0;904;1426896;815907;0;0;0;90.179545;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1718830301;62;19-06-2024 22:51:41
6692196;0;gcn21;2381333;2194978;2400000;1.001412;0.900291;0.242167;0.633207;0.000000;0.000000;1272.390258;101.490938;246.826718;23573656904;26184492709;0.000388;604143870;277085361;0;117103;0;1864;2948576;814034;0;0;0;90.326182;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1718830311;72;19-06-2024 22:51:51
6692196;0;gcn21;2390666;2194740;2400000;1.002012;0.899425;0.225135;0.589185;0.000000;0.000000;1290.440376;101.201063;246.720042;23585589609;26222967699;0.000092;603473249;276504781;0;105421;0;752;0;818388;0;0;0;91.017455;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1718830321;82;19-06-2024 22:52:01
6692196;0;gcn21;2390666;2194772;2400000;1.001512;0.897577;0.252501;0.662353;0.000000;0.000000;1298.944865;101.503401;247.174612;23580529432;26271330736;0.000093;603308771;274576717;0;104374;0;1496;3184;819814;0;0;0;90.016182;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1718830332;92;19-06-2024 22:52:12
6692196;0;gcn21;2381333;2194904;2400000;1.001212;0.900730;0.258752;0.676352;0.000000;0.000000;1132.613046;101.297087;246.674504;23572700308;26170653515;0.000388;603653762;277391124;0;109000;0;304;2961456;814920;0;0;0;96.737917;1410000;1215000;26;4;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1718830342;102;19-06-2024 22:52:22
